,state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,region
67,NJ,10000.0,44,440000.0,154000.0,0.57,251000.0,1999,North
68,NM,15000.0,52,780000.0,476000.0,0.77,601000.0,1999,South
69,NY,69000.0,70,4830000.0,2077000.0,0.66,3188000.0,1999,North
70,NC,9000.0,46,414000.0,104000.0,1.62,671000.0,1999,South
71,ND,255000.0,105,26775000.0,8836000.0,0.59,15797000.0,1999,Midwest
72,OH,20000.0,74,1480000.0,784000.0,0.72,1066000.0,1999,Midwest
73,OK,6000.0,45,270000.0,49000.0,1.34,362000.0,1999,South
74,OR,45000.0,57,2565000.0,2026000.0,0.8,2052000.0,1999,North
75,PA,28000.0,60,1680000.0,790000.0,0.76,1277000.0,1999,North
76,SD,224000.0,104,23296000.0,13046000.0,0.6,13978000.0,1999,Midwest
77,TN,8000.0,51,408000.0,106000.0,1.3,530000.0,1999,South
78,TX,108000.0,81,8748000.0,2799000.0,0.64,5599000.0,1999,South
79,UT,26000.0,45,1170000.0,433000.0,0.68,796000.0,1999,West
80,VT,6000.0,66,396000.0,222000.0,0.63,249000.0,1999,North
81,VA,7000.0,35,245000.0,86000.0,1.17,287000.0,1999,South
82,WA,52000.0,50,2600000.0,1170000.0,0.6,1560000.0,1999,West
83,WV,6000.0,39,234000.0,152000.0,1.09,255000.0,1999,South
84,WI,80000.0,75,6000000.0,4560000.0,0.68,4080000.0,1999,Midwest
85,WY,37000.0,72,2664000.0,746000.0,0.61,1625000.0,1999,West
86,AL,16000.0,78,1248000.0,187000.0,0.59,736000.0,2000,South
87,AZ,40000.0,59,2360000.0,1322000.0,0.73,1723000.0,2000,West
88,AR,52000.0,93,4836000.0,3337000.0,0.57,2757000.0,2000,South
89,CA,440000.0,70,30800000.0,11396000.0,0.59,18172000.0,2000,West
90,CO,29000.0,60,1740000.0,957000.0,0.62,1079000.0,2000,West
91,FL,232000.0,105,24360000.0,2923000.0,0.54,13154000.0,2000,South
92,GA,55000.0,57,3135000.0,376000.0,0.63,1975000.0,2000,South
93,HI,7000.0,112,784000.0,125000.0,0.82,643000.0,2000,West
94,ID,100000.0,47,4700000.0,2679000.0,0.52,2444000.0,2000,West
95,IL,8000.0,61,488000.0,146000.0,1.17,571000.0,2000,Midwest
96,IN,8000.0,65,520000.0,286000.0,1.03,536000.0,2000,Midwest
97,IA,30000.0,67,2010000.0,1206000.0,0.68,1367000.0,2000,Midwest
98,KS,15000.0,68,1020000.0,520000.0,0.91,928000.0,2000,Midwest
99,KY,4000.0,48,192000.0,54000.0,1.35,259000.0,2000,South
100,LA,43000.0,94,4042000.0,1334000.0,0.52,2102000.0,2000,South
101,ME,11000.0,21,231000.0,143000.0,0.75,173000.0,2000,North
102,MD,6000.0,46,276000.0,52000.0,1.14,315000.0,2000,South
103,MI,72000.0,75,5400000.0,2970000.0,0.6,3240000.0,2000,Midwest
104,MN,150000.0,90,13500000.0,3105000.0,0.57,7695000.0,2000,Midwest
105,MS,17000.0,72,1224000.0,649000.0,0.69,845000.0,2000,Midwest
106,MO,23000.0,75,1725000.0,362000.0,0.6,1035000.0,2000,Midwest
107,MT,124000.0,88,10912000.0,4692000.0,0.59,6438000.0,2000,West
108,NE,50000.0,87,4350000.0,2610000.0,0.59,2567000.0,2000,Midwest
109,NV,10000.0,35,350000.0,95000.0,1.45,508000.0,2000,West
110,NJ,11000.0,35,385000.0,200000.0,0.61,235000.0,2000,North
111,NM,15000.0,64,960000.0,739000.0,0.72,691000.0,2000,South
112,NY,58000.0,80,4640000.0,2274000.0,0.55,2552000.0,2000,North
113,NC,11000.0,49,539000.0,243000.0,1.43,771000.0,2000,South
114,ND,300000.0,115,34500000.0,13800000.0,0.57,19665000.0,2000,Midwest
115,OH,18000.0,65,1170000.0,585000.0,0.79,924000.0,2000,Midwest
116,OK,7000.0,35,245000.0,64000.0,1.26,309000.0,2000,South
117,OR,48000.0,51,2448000.0,1665000.0,0.66,1616000.0,2000,North
118,PA,25000.0,45,1125000.0,630000.0,0.76,855000.0,2000,North
119,SD,235000.0,121,28435000.0,12796000.0,0.58,16492000.0,2000,Midwest
120,TN,9000.0,61,549000.0,104000.0,1.43,785000.0,2000,South
121,TX,105000.0,79,8295000.0,2986000.0,0.57,4728000.0,2000,South
122,UT,24000.0,41,984000.0,462000.0,0.6,590000.0,2000,West
123,VT,7000.0,59,413000.0,211000.0,0.68,281000.0,2000,North
124,VA,7000.0,42,294000.0,103000.0,1.5,441000.0,2000,South
125,WA,52000.0,54,2808000.0,1151000.0,0.58,1629000.0,2000,West
126,WV,7000.0,54,378000.0,234000.0,1.22,461000.0,2000,South
127,WI,84000.0,90,7560000.0,4385000.0,0.68,5141000.0,2000,Midwest
128,WY,39000.0,93,3627000.0,798000.0,0.59,2140000.0,2000,West
129,AL,14000.0,73,1022000.0,235000.0,0.72,736000.0,2001,South
130,AZ,43000.0,59,2537000.0,1142000.0,0.72,1827000.0,2001,West
131,AR,50000.0,98,4900000.0,1617000.0,0.65,3185000.0,2001,South
132,CA,460000.0,61,28060000.0,7857000.0,0.69,19361000.0,2001,West
133,CO,26000.0,55,1430000.0,529000.0,0.71,1015000.0,2001,West
134,FL,220000.0,100,22000000.0,3432000.0,0.64,14080000.0,2001,South
135,GA,55000.0,57,3135000.0,188000.0,0.7,2195000.0,2001,South
136,HI,8000.0,87,696000.0,84000.0,0.87,606000.0,2001,West
137,ID,100000.0,46,4600000.0,1610000.0,0.67,3082000.0,2001,West
138,IL,6000.0,76,456000.0,251000.0,1.58,720000.0,2001,Midwest
139,IN,7000.0,76,532000.0,186000.0,0.92,489000.0,2001,Midwest
140,IA,33000.0,51,1683000.0,875000.0,0.75,1262000.0,2001,Midwest
141,KS,13000.0,51,663000.0,530000.0,0.96,636000.0,2001,Midwest
142,KY,4000.0,78,312000.0,125000.0,1.41,440000.0,2001,South
143,LA,45000.0,106,4770000.0,572000.0,0.6,2862000.0,2001,South
144,ME,11000.0,20,220000.0,106000.0,0.79,174000.0,2001,North
145,MD,4000.0,46,184000.0,55000.0,1.6,294000.0,2001,South
146,MI,76000.0,60,4560000.0,2827000.0,0.81,3694000.0,2001,Midwest
147,MN,135000.0,81,10935000.0,1859000.0,0.65,7108000.0,2001,Midwest
148,MS,17000.0,66,1122000.0,224000.0,0.89,999000.0,2001,Midwest
149,MO,22000.0,61,1342000.0,336000.0,0.71,953000.0,2001,Midwest
150,MT,136000.0,102,13872000.0,4578000.0,0.67,9294000.0,2001,West
151,NE,43000.0,48,2064000.0,1115000.0,0.72,1486000.0,2001,Midwest
152,NV,9000.0,50,450000.0,36000.0,2.14,963000.0,2001,West
153,NJ,11000.0,34,374000.0,71000.0,0.85,318000.0,2001,North
154,NM,10000.0,70,700000.0,350000.0,0.66,462000.0,2001,South
155,NY,53000.0,70,3710000.0,1781000.0,0.79,2931000.0,2001,North
156,NC,13000.0,44,572000.0,172000.0,1.48,847000.0,2001,South
157,ND,280000.0,96,26880000.0,9408000.0,0.69,18547000.0,2001,Midwest
158,OH,18000.0,81,1458000.0,569000.0,1.01,1473000.0,2001,Midwest
159,OK,4000.0,47,188000.0,105000.0,1.43,269000.0,2001,South
160,OR,44000.0,44,1936000.0,1200000.0,0.74,1433000.0,2001,North
161,PA,26000.0,57,1482000.0,785000.0,0.92,1363000.0,2001,North
162,SC,7000.0,40,280000.0,67000.0,0.79,221000.0,2001,South
163,SD,235000.0,65,15275000.0,12220000.0,0.71,10845000.0,2001,Midwest
164,TN,8000.0,59,472000.0,131000.0,1.39,656000.0,2001,South
165,TX,97000.0,79,7663000.0,1533000.0,0.65,4981000.0,2001,South
166,UT,23000.0,38,874000.0,315000.0,0.65,568000.0,2001,West
167,VT,7000.0,81,567000.0,249000.0,0.92,522000.0,2001,North
168,VA,9000.0,52,468000.0,94000.0,1.26,590000.0,2001,South
169,WA,48000.0,52,2496000.0,1048000.0,0.72,1797000.0,2001,West
170,WV,7000.0,65,455000.0,410000.0,1.42,646000.0,2001,South
171,WI,67000.0,81,5427000.0,3419000.0,0.82,4450000.0,2001,Midwest
172,WY,38000.0,77,2926000.0,468000.0,0.65,1902000.0,2001,West
173,AL,12000.0,86,1032000.0,103000.0,1.18,1218000.0,2002,South
174,AZ,38000.0,63,2394000.0,1197000.0,1.08,2586000.0,2002,West
175,AR,45000.0,88,3960000.0,871000.0,1.26,4990000.0,2002,South
176,CA,470000.0,50,23500000.0,3525000.0,1.32,31020000.0,2002,West
177,CO,24000.0,60,1440000.0,576000.0,1.29,1858000.0,2002,West
178,FL,220000.0,93,20460000.0,2026000.0,1.14,23324000.0,2002,South
179,GA,50000.0,52,2600000.0,52000.0,1.13,2938000.0,2002,South
180,HI,7000.0,136,952000.0,29000.0,1.11,1057000.0,2002,West
181,ID,100000.0,57,5700000.0,1653000.0,1.37,7809000.0,2002,West
182,IL,9000.0,80,720000.0,130000.0,1.47,1058000.0,2002,Midwest
183,IN,8000.0,62,496000.0,233000.0,1.19,590000.0,2002,Midwest
184,IA,33000.0,70,2310000.0,901000.0,1.43,3303000.0,2002,Midwest
185,KS,17000.0,52,884000.0,407000.0,1.5,1326000.0,2002,Midwest
186,KY,5000.0,54,270000.0,78000.0,1.63,440000.0,2002,South
187,LA,35000.0,124,4340000.0,347000.0,1.16,5034000.0,2002,South
188,ME,11000.0,41,451000.0,266000.0,1.21,546000.0,2002,North
189,MD,3000.0,46,138000.0,21000.0,1.96,270000.0,2002,South
190,MI,72000.0,77,5544000.0,1885000.0,1.4,7762000.0,2002,Midwest
191,MN,117000.0,73,8541000.0,1110000.0,1.47,12555000.0,2002,Midwest
192,MS,18000.0,78,1404000.0,281000.0,1.23,1727000.0,2002,Midwest
193,MO,18000.0,50,900000.0,189000.0,1.42,1278000.0,2002,Midwest
194,MT,134000.0,63,8442000.0,1097000.0,1.38,11650000.0,2002,West
195,NE,43000.0,75,3225000.0,1161000.0,1.49,4805000.0,2002,Midwest
196,NV,9000.0,62,558000.0,61000.0,2.67,1490000.0,2002,West
197,NJ,11000.0,40,440000.0,92000.0,1.0,440000.0,2002,North
198,NM,11000.0,44,484000.0,252000.0,1.1,532000.0,2002,South
199,NY,60000.0,98,5880000.0,2470000.0,1.25,7350000.0,2002,North
200,NC,16000.0,42,672000.0,74000.0,1.41,948000.0,2002,South
201,ND,320000.0,75,24000000.0,8160000.0,1.46,35040000.0,2002,Midwest
202,OH,18000.0,70,1260000.0,504000.0,1.44,1814000.0,2002,Midwest
203,OK,3000.0,53,159000.0,51000.0,1.63,259000.0,2002,South
204,OR,43000.0,49,2107000.0,885000.0,1.35,2844000.0,2002,North
205,PA,29000.0,57,1653000.0,827000.0,1.34,2215000.0,2002,North
206,SC,5000.0,94,470000.0,14000.0,1.25,588000.0,2002,South
207,SD,225000.0,51,11475000.0,2410000.0,1.42,16295000.0,2002,Midwest
208,TN,8000.0,61,488000.0,137000.0,1.4,683000.0,2002,South
209,TX,114000.0,67,7638000.0,985000.0,1.14,8707000.0,2002,South
210,UT,22000.0,59,1298000.0,208000.0,1.3,1687000.0,2002,West
211,VT,7000.0,89,623000.0,274000.0,1.2,748000.0,2002,North
212,VA,8000.0,38,304000.0,79000.0,1.9,578000.0,2002,South
213,WA,50000.0,51,2550000.0,561000.0,1.27,3239000.0,2002,West
214,WV,9000.0,51,459000.0,151000.0,1.32,606000.0,2002,South
215,WI,70000.0,95,6650000.0,2461000.0,1.34,8911000.0,2002,Midwest
216,WY,38000.0,63,2394000.0,383000.0,1.33,3184000.0,2002,West
217,AL,13000.0,82,1066000.0,43000.0,1.24,1322000.0,2003,South
218,AZ,35000.0,72,2520000.0,983000.0,1.34,3377000.0,2003,West
219,AR,40000.0,75,3000000.0,810000.0,1.26,3780000.0,2003,South
220,CA,480000.0,67,32160000.0,6432000.0,1.39,44702000.0,2003,West
221,CO,24000.0,86,2064000.0,722000.0,1.4,2890000.0,2003,West
222,FL,210000.0,71,14910000.0,1491000.0,1.32,19681000.0,2003,South
223,GA,52000.0,65,3380000.0,270000.0,1.28,4326000.0,2003,South
224,HI,7000.0,114,798000.0,43000.0,1.45,1157000.0,2003,West
225,ID,100000.0,46,4600000.0,1380000.0,1.33,6118000.0,2003,West
226,IL,7000.0,60,420000.0,252000.0,1.83,769000.0,2003,Midwest
227,IN,5000.0,56,280000.0,78000.0,1.66,465000.0,2003,Midwest
228,IA,32000.0,59,1888000.0,868000.0,1.42,2681000.0,2003,Midwest
229,KS,16000.0,57,912000.0,447000.0,1.41,1286000.0,2003,Midwest
230,KY,5000.0,48,240000.0,14000.0,1.67,401000.0,2003,South
231,LA,34000.0,90,3060000.0,275000.0,1.24,3794000.0,2003,South
232,ME,8000.0,33,264000.0,145000.0,1.41,372000.0,2003,North
233,MD,2000.0,42,84000.0,21000.0,1.93,162000.0,2003,South
234,MI,65000.0,74,4810000.0,1732000.0,1.41,6782000.0,2003,Midwest
235,MN,120000.0,83,9960000.0,1892000.0,1.44,14342000.0,2003,Midwest
236,MS,21000.0,69,1449000.0,246000.0,1.29,1869000.0,2003,Midwest
237,MO,17000.0,53,901000.0,189000.0,1.41,1270000.0,2003,Midwest
238,MT,145000.0,66,9570000.0,1914000.0,1.44,13781000.0,2003,West
239,NE,45000.0,74,3330000.0,1299000.0,1.38,4595000.0,2003,Midwest
240,NV,6000.0,64,384000.0,46000.0,2.04,783000.0,2003,West
241,NJ,10000.0,19,190000.0,101000.0,1.6,304000.0,2003,North
242,NM,6000.0,41,246000.0,108000.0,1.2,295000.0,2003,South
243,NY,67000.0,72,4824000.0,1640000.0,1.36,6561000.0,2003,North
244,NC,10000.0,44,440000.0,79000.0,1.92,845000.0,2003,South
245,ND,340000.0,87,29580000.0,6803000.0,1.36,40229000.0,2003,Midwest
246,OH,15000.0,50,750000.0,278000.0,1.4,1050000.0,2003,Midwest
247,OK,3000.0,47,141000.0,69000.0,1.84,259000.0,2003,South
248,OR,42000.0,51,2142000.0,964000.0,1.27,2720000.0,2003,North
249,PA,27000.0,50,1350000.0,419000.0,1.44,1944000.0,2003,North
250,SC,4000.0,70,280000.0,8000.0,1.89,529000.0,2003,South
251,SD,215000.0,70,15050000.0,2709000.0,1.43,21522000.0,2003,Midwest
252,TN,6000.0,40,240000.0,46000.0,1.52,365000.0,2003,South
253,TX,140000.0,67,9380000.0,1126000.0,1.4,13132000.0,2003,South
254,UT,25000.0,57,1425000.0,157000.0,1.28,1824000.0,2003,West
255,VT,7000.0,83,581000.0,163000.0,1.96,1139000.0,2003,North
256,VA,6000.0,37,222000.0,69000.0,1.68,373000.0,2003,South
257,WA,58000.0,56,3248000.0,942000.0,1.46,4742000.0,2003,West
258,WV,8000.0,47,376000.0,194000.0,1.89,711000.0,2003,South
259,WI,74000.0,77,5698000.0,2678000.0,1.47,8376000.0,2003,Midwest
260,WY,39000.0,81,3159000.0,474000.0,1.41,4454000.0,2003,West
261,AL,12000.0,87,1044000.0,282000.0,1.41,1472000.0,2004,South
262,AZ,32000.0,55,1760000.0,774000.0,1.11,1954000.0,2004,West
263,AR,40000.0,57,2280000.0,388000.0,0.87,1984000.0,2004,South
264,CA,390000.0,45,17550000.0,5792000.0,1.05,18428000.0,2004,West
265,CO,23000.0,80,1840000.0,791000.0,1.35,2484000.0,2004,West
266,FL,205000.0,98,20090000.0,2009000.0,1.02,20492000.0,2004,South
267,GA,63000.0,49,3087000.0,648000.0,1.2,3704000.0,2004,South
268,HI,8000.0,96,768000.0,77000.0,1.59,1221000.0,2004,West
269,ID,100000.0,63,6300000.0,2520000.0,1.02,6426000.0,2004,West
270,IL,7000.0,55,385000.0,193000.0,1.86,716000.0,2004,Midwest
271,IN,7000.0,59,413000.0,145000.0,1.47,607000.0,2004,Midwest
272,IA,35000.0,67,2345000.0,1337000.0,1.06,2486000.0,2004,Midwest
273,KS,14000.0,80,1120000.0,683000.0,1.18,1322000.0,2004,Midwest
274,KY,5000.0,56,280000.0,34000.0,1.96,549000.0,2004,South
275,LA,35000.0,98,3430000.0,240000.0,0.79,2710000.0,2004,South
276,ME,7000.0,31,217000.0,37000.0,1.28,278000.0,2004,North
277,MI,65000.0,67,4355000.0,2439000.0,1.16,5052000.0,2004,Midwest
278,MN,135000.0,75,10125000.0,1924000.0,1.08,10935000.0,2004,Midwest
279,MS,18000.0,65,1170000.0,421000.0,0.79,924000.0,2004,Midwest
280,MO,16000.0,41,656000.0,151000.0,1.36,892000.0,2004,Midwest
281,MT,140000.0,77,10780000.0,3773000.0,1.08,11642000.0,2004,West
282,NE,51000.0,89,4539000.0,2043000.0,1.01,4584000.0,2004,Midwest
283,NV,14000.0,55,770000.0,316000.0,1.78,1371000.0,2004,West
284,NJ,12000.0,27,324000.0,45000.0,1.4,454000.0,2004,North
285,NM,8000.0,44,352000.0,127000.0,1.19,419000.0,2004,South
286,NY,64000.0,67,4288000.0,1887000.0,1.36,5832000.0,2004,North
287,NC,9000.0,40,360000.0,72000.0,1.93,695000.0,2004,South
288,ND,390000.0,78,30420000.0,9126000.0,1.05,31941000.0,2004,Midwest
289,OH,16000.0,58,928000.0,353000.0,1.53,1420000.0,2004,Midwest
290,OR,42000.0,54,2268000.0,1111000.0,1.21,2744000.0,2004,North
291,PA,30000.0,54,1620000.0,810000.0,1.42,2300000.0,2004,North
292,SD,215000.0,105,22575000.0,13545000.0,1.01,22801000.0,2004,Midwest
293,TN,6000.0,54,324000.0,91000.0,1.73,561000.0,2004,South
294,TX,116000.0,76,8816000.0,1411000.0,0.97,8552000.0,2004,South
295,UT,24000.0,70,1680000.0,554000.0,1.1,1848000.0,2004,West
296,VT,6000.0,68,408000.0,192000.0,1.51,616000.0,2004,North
297,VA,7000.0,38,266000.0,69000.0,2.1,559000.0,2004,South
298,WA,56000.0,63,3528000.0,1376000.0,0.98,3457000.0,2004,West
299,WV,9000.0,55,495000.0,183000.0,1.41,698000.0,2004,South
300,WI,68000.0,86,5848000.0,2632000.0,1.19,6959000.0,2004,Midwest
301,WY,39000.0,75,2925000.0,380000.0,1.1,3218000.0,2004,West
302,AL,13000.0,66,858000.0,266000.0,1.02,875000.0,2005,South
303,AZ,36000.0,50,1800000.0,720000.0,1.04,1872000.0,2005,West
304,AR,36000.0,69,2484000.0,571000.0,0.97,2409000.0,2005,South
305,CA,400000.0,75,30000000.0,9300000.0,0.86,25800000.0,2005,West
306,CO,28000.0,70,1960000.0,902000.0,0.97,1901000.0,2005,West
307,FL,160000.0,86,13760000.0,2477000.0,0.87,11971000.0,2005,South
308,GA,59000.0,49,2891000.0,434000.0,0.89,2573000.0,2005,South
309,HI,9000.0,131,1179000.0,283000.0,1.43,1686000.0,2005,West
310,ID,95000.0,37,3515000.0,1793000.0,0.8,2812000.0,2005,West
311,IL,8000.0,85,680000.0,408000.0,1.84,1251000.0,2005,Midwest
312,IN,8000.0,64,512000.0,189000.0,1.18,604000.0,2005,Midwest
313,IA,28000.0,88,2464000.0,1232000.0,1.21,2981000.0,2005,Midwest
314,KS,16000.0,50,800000.0,328000.0,1.05,840000.0,2005,Midwest
315,KY,5000.0,50,250000.0,40000.0,2.08,520000.0,2005,South
316,LA,35000.0,97,3395000.0,611000.0,0.72,2444000.0,2005,South
317,ME,8000.0,26,208000.0,193000.0,1.66,345000.0,2005,North
318,MI,65000.0,68,4420000.0,2519000.0,0.94,4155000.0,2005,Midwest
319,MN,120000.0,74,8880000.0,1598000.0,0.9,7992000.0,2005,Midwest
320,MS,16000.0,80,1280000.0,346000.0,0.67,858000.0,2005,Midwest
321,MO,15000.0,50,750000.0,180000.0,1.22,915000.0,2005,Midwest
322,MT,130000.0,67,8710000.0,3136000.0,0.86,7491000.0,2005,West
323,NE,40000.0,68,2720000.0,2530000.0,0.87,2366000.0,2005,Midwest
324,NV,12000.0,46,552000.0,442000.0,3.11,1717000.0,2005,West
325,NJ,12000.0,32,384000.0,104000.0,1.2,461000.0,2005,North
326,NM,7000.0,49,343000.0,113000.0,1.03,353000.0,2005,South
327,NY,59000.0,73,4307000.0,2283000.0,1.34,5771000.0,2005,North
328,NC,10000.0,54,540000.0,146000.0,1.88,1015000.0,2005,South
329,ND,370000.0,91,33670000.0,8418000.0,0.83,27946000.0,2005,Midwest
330,OH,15000.0,69,1035000.0,580000.0,1.4,1449000.0,2005,Midwest
331,OR,39000.0,42,1638000.0,557000.0,1.08,1769000.0,2005,North
332,PA,28000.0,56,1568000.0,800000.0,1.12,1756000.0,2005,North
333,SD,220000.0,79,17380000.0,11818000.0,0.83,14425000.0,2005,Midwest
334,TN,7000.0,55,385000.0,92000.0,1.67,643000.0,2005,South
335,TX,84000.0,71,5964000.0,954000.0,0.86,5129000.0,2005,South
336,UT,24000.0,45,1080000.0,346000.0,0.95,1026000.0,2005,West
337,VT,6000.0,91,546000.0,169000.0,1.12,612000.0,2005,North
338,VA,8000.0,37,296000.0,59000.0,2.2,651000.0,2005,South
339,WA,51000.0,55,2805000.0,1935000.0,1.01,2833000.0,2005,West
340,WV,8000.0,51,408000.0,102000.0,1.29,526000.0,2005,South
341,WI,64000.0,83,5312000.0,2922000.0,1.14,6056000.0,2005,Midwest
342,WY,40000.0,56,2240000.0,291000.0,0.89,1994000.0,2005,West
343,AL,11000.0,72,792000.0,230000.0,1.21,958000.0,2006,South
344,AZ,30000.0,65,1950000.0,839000.0,0.91,1775000.0,2006,West
345,AR,32000.0,76,2432000.0,730000.0,0.89,2164000.0,2006,South
346,CA,380000.0,52,19760000.0,7706000.0,0.97,19167000.0,2006,West
347,CO,36000.0,75,2700000.0,1458000.0,1.04,2808000.0,2006,West
348,FL,170000.0,81,13770000.0,1790000.0,1.0,13770000.0,2006,South
349,GA,63000.0,74,4662000.0,746000.0,1.2,5594000.0,2006,South
350,HI,10000.0,93,930000.0,233000.0,1.21,1125000.0,2006,West
351,ID,95000.0,44,4180000.0,2592000.0,0.97,4055000.0,2006,West
352,IL,10000.0,66,660000.0,356000.0,2.14,1412000.0,2006,Midwest
353,IN,7000.0,54,378000.0,125000.0,1.58,597000.0,2006,Midwest
354,IA,26000.0,84,2184000.0,1441000.0,1.37,2992000.0,2006,Midwest
355,KS,14000.0,55,770000.0,246000.0,1.17,901000.0,2006,Midwest
356,KY,5000.0,56,280000.0,70000.0,2.19,613000.0,2006,South
357,LA,30000.0,90,2700000.0,675000.0,0.9,2430000.0,2006,South
358,ME,11000.0,23,253000.0,86000.0,1.6,405000.0,2006,North
359,MI,72000.0,55,3960000.0,2099000.0,1.15,4554000.0,2006,Midwest
360,MN,125000.0,80,10000000.0,3300000.0,0.94,9400000.0,2006,Midwest
